?----------------------------------------
Letter     | DB Count  
----------------------------------------
A          | 102       
B          | 101       
C          | 103       
D          | 82        
E          | 55        
F          | 72        
G          | 82        
H          | 40        
I          | 59        
J          | 58        
K          | 80        
L          | 98        
M          | 86        
N          | 76        
O          | 51        
P          | 75        
Q          | 23        
R          | 72        
S          | 92        
T          | 71        
U          | 26        
V          | 33        
W          | 39        
X          | 6         
Y          | 24        
Z          | 19        
----------------------------------------
PASS: Chunks exist for every letter (A-Z).
